movie_id,primary_title,genres,individual_genre,runtime_minutes,title,studio,domestic_gross,foreign_gross,year,averagerating,numvotes,director_id,director_name,total_gross
tt1951264,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",Action,146.0,The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,7.5,575455,nm1349376,Francis Lawrence,865000000.0
tt1951264,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",Adventure,146.0,The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,7.5,575455,nm1349376,Francis Lawrence,865000000.0
tt1951264,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",Sci-Fi,146.0,The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,7.5,575455,nm1349376,Francis Lawrence,865000000.0
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",Action,123.0,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014,6.6,379050,nm1349376,Francis Lawrence,755300000.0
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",Adventure,123.0,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014,6.6,379050,nm1349376,Francis Lawrence,755300000.0
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",Sci-Fi,123.0,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014,6.6,379050,nm1349376,Francis Lawrence,755300000.0
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",Action,137.0,The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000.0,2015,6.6,252384,nm1349376,Francis Lawrence,653400000.0
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",Adventure,137.0,The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000.0,2015,6.6,252384,nm1349376,Francis Lawrence,653400000.0
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",Sci-Fi,137.0,The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000.0,2015,6.6,252384,nm1349376,Francis Lawrence,653400000.0
tt1954315,Borgman,"Drama,Horror,Mystery",Drama,113.0,Borgman,Drft.,57500.0,952000.0,2014,6.8,14518,nm0912334,Alex van Warmerdam,1009500.0
tt1954315,Borgman,"Drama,Horror,Mystery",Horror,113.0,Borgman,Drft.,57500.0,952000.0,2014,6.8,14518,nm0912334,Alex van Warmerdam,1009500.0
tt1954315,Borgman,"Drama,Horror,Mystery",Mystery,113.0,Borgman,Drft.,57500.0,952000.0,2014,6.8,14518,nm0912334,Alex van Warmerdam,1009500.0
tt1954701,A Coffee in Berlin,"Comedy,Drama",Comedy,86.0,A Coffee in Berlin,MBox,150000.0,2600000.0,2014,7.4,13713,nm1673756,Jan Ole Gerster,2750000.0
tt1954701,A Coffee in Berlin,"Comedy,Drama",Drama,86.0,A Coffee in Berlin,MBox,150000.0,2600000.0,2014,7.4,13713,nm1673756,Jan Ole Gerster,2750000.0
tt1956620,Sex Tape,"Comedy,Romance",Comedy,94.0,Sex Tape,Sony,38500000.0,87500000.0,2014,5.1,100520,nm0440458,Jake Kasdan,126000000.0
tt1956620,Sex Tape,"Comedy,Romance",Romance,94.0,Sex Tape,Sony,38500000.0,87500000.0,2014,5.1,100520,nm0440458,Jake Kasdan,126000000.0
tt1959563,The Hitman's Bodyguard,"Action,Comedy,Thriller",Action,118.0,The Hitman's Bodyguard,LG/S,75500000.0,101100000.0,2017,6.9,161764,nm0400850,Patrick Hughes,176600000.0
tt1959563,The Hitman's Bodyguard,"Action,Comedy,Thriller",Comedy,118.0,The Hitman's Bodyguard,LG/S,75500000.0,101100000.0,2017,6.9,161764,nm0400850,Patrick Hughes,176600000.0
tt1959563,The Hitman's Bodyguard,"Action,Comedy,Thriller",Thriller,118.0,The Hitman's Bodyguard,LG/S,75500000.0,101100000.0,2017,6.9,161764,nm0400850,Patrick Hughes,176600000.0
tt1961175,American Assassin,"Action,Thriller",Action,112.0,American Assassin,LGF,36200000.0,31000000.0,2017,6.2,57793,nm0191147,Michael Cuesta,67200000.0
tt1961175,American Assassin,"Action,Thriller",Thriller,112.0,American Assassin,LGF,36200000.0,31000000.0,2017,6.2,57793,nm0191147,Michael Cuesta,67200000.0
tt1961562,The House,"Drama,Mystery,Thriller",Drama,109.0,The House,WB (NL),25600000.0,8600000.0,2017,4.6,50,nm1615931,Desiree Lim,34200000.0
tt1961562,The House,"Drama,Mystery,Thriller",Mystery,109.0,The House,WB (NL),25600000.0,8600000.0,2017,4.6,50,nm1615931,Desiree Lim,34200000.0
tt1961562,The House,"Drama,Mystery,Thriller",Thriller,109.0,The House,WB (NL),25600000.0,8600000.0,2017,4.6,50,nm1615931,Desiree Lim,34200000.0
tt2408288,The House,Animation,Animation,72.0,The House,WB (NL),25600000.0,8600000.0,2017,7.3,58,nm2031767,Eun-Young Park,34200000.0
